
divisionBlue = "",
leagueCoRec ="",

teamName = "Asshats";

1,9/8/2017,9:45 PM,MC 1,White Co-Rec Division,Pitches Me Crazy,Msla Heating & Cooling,
0,9/15/2017,8:35 PM,MC 1,White Co-Rec Division,Msla Heating & Cooling,Dirty Sunrise,
0,9/22/2017,9:45 PM,Northside,White Co-Rec Division,Msla Heating & Cooling,Westside Lanes/P.Falls,
1,9/29/2017,9:45 PM,Northside,White Co-Rec Division,R.A.W.,Msla Heating & Cooling,
1,10/6/2017,6:15 PM,MC 2,White Co-Rec Division,Jackson,Msla Heating & Cooling,
teamName = "MT Club";

0,8/25/2017,6:15 PM,MC 2,White Co-Rec Division,MT Club,Westside Lanes/P.Falls,
1,9/8/2017,9:45 PM,Northside,White Co-Rec Division,R.A.W.,MT Club,
1,9/15/2017,7:25 PM,MC 1,White Co-Rec Division,Sandlot Warriors,MT Club,
1,9/22/2017,6:15 PM,Northside,White Co-Rec Division,Team Ohana,MT Club,
0,9/29/2017,8:35 PM,Northside,White Co-Rec Division,MT Club,V.W. Ice,
0,10/6/2017,9:45 PM,MC 2,White Co-Rec Division,MT Club,Sucker Punch,
teamName = "Pitches Me Crazy";

0,8/25/2017,9:45 PM,Northside,White Co-Rec Division,Pitches Me Crazy,Jackson,
0,9/8/2017,9:45 PM,MC 1,White Co-Rec Division,Pitches Me Crazy,Msla Heating & Cooling,
0,9/15/2017,6:15 PM,MC 1,White Co-Rec Division,Pitches Me Crazy,R.A.W.,
1,9/22/2017,6:15 PM,MC 1,White Co-Rec Division,V.W. Ice,Pitches Me Crazy,
1,9/29/2017,7:25 PM,Northside,White Co-Rec Division,99 Problems,Pitches Me Crazy,
1,10/6/2017,6:15 PM,MC 1,White Co-Rec Division,Dirty Sunrise,Pitches Me Crazy,
teamName = "R.A.W.";

0,8/25/2017,6:15 PM,Northside,White Co-Rec Division,R.A.W.,Dirty Sunrise,
0,9/8/2017,9:45 PM,Northside,White Co-Rec Division,R.A.W.,MT Club,
1,9/15/2017,6:15 PM,MC 1,White Co-Rec Division,Pitches Me Crazy,R.A.W.,
0,9/22/2017,8:35 PM,Northside,White Co-Rec Division,R.A.W.,Jackson,
0,9/29/2017,9:45 PM,Northside,White Co-Rec Division,R.A.W.,Msla Heating & Cooling,
1,10/6/2017,9:45 PM,MC 1,White Co-Rec Division,99 Problems,R.A.W.,
teamName = "Sandlot Warriors";

0,8/25/2017,8:35 PM,MC 1,White Co-Rec Division,Sandlot Warriors,Team Ohana,
1,9/8/2017,8:35 PM,Northside,White Co-Rec Division,Sucker Punch,Sandlot Warriors,
0,9/15/2017,7:25 PM,MC 1,White Co-Rec Division,Sandlot Warriors,MT Club,
0,9/22/2017,9:45 PM,MC 1,White Co-Rec Division,Sandlot Warriors,Dirty Sunrise,
1,9/29/2017,9:45 PM,MC 1,White Co-Rec Division,Westside Lanes/P.Falls,Sandlot Warriors,
1,10/6/2017,7:25 PM,Northside,White Co-Rec Division,V.W. Ice,Sandlot Warriors,
teamName = "Sucker Punch";

0,8/25/2017,6:15 PM,MC 1,White Co-Rec Division,Sucker Punch,V.W. Ice,
0,9/8/2017,8:35 PM,Northside,White Co-Rec Division,Sucker Punch,Sandlot Warriors,
0,9/15/2017,6:15 PM,Northside,White Co-Rec Division,Sucker Punch,Westside Lanes/P.Falls,
1,9/22/2017,6:15 PM,MC 2,White Co-Rec Division,99 Problems,Sucker Punch,
1,9/29/2017,7:25 PM,MC 2,White Co-Rec Division,Team Ohana,Sucker Punch,
1,10/6/2017,9:45 PM,MC 2,White Co-Rec Division,MT Club,Sucker Punch,
teamName = "Team Ohana";

1,8/25/2017,8:35 PM,MC 1,White Co-Rec Division,Sandlot Warriors,Team Ohana,
1,9/8/2017,7:25 PM,MC 2,White Co-Rec Division,Jackson,Team Ohana,
0,9/15/2017,8:35 PM,MC 2,White Co-Rec Division,Team Ohana,V.W. Ice,
0,9/22/2017,6:15 PM,Northside,White Co-Rec Division,Team Ohana,MT Club,
0,9/29/2017,7:25 PM,MC 2,White Co-Rec Division,Team Ohana,Sucker Punch,
1,10/6/2017,8:35 PM,MC 1,White Co-Rec Division,Westside Lanes/P.Falls,Team Ohana,
teamName = "V.W. Ice";

1,8/25/2017,6:15 PM,MC 1,White Co-Rec Division,Sucker Punch,V.W. Ice,
1,9/8/2017,8:35 PM,MC 1,White Co-Rec Division,Westside Lanes/P.Falls,V.W. Ice,
1,9/15/2017,8:35 PM,MC 2,White Co-Rec Division,Team Ohana,V.W. Ice,
0,9/22/2017,6:15 PM,MC 1,White Co-Rec Division,V.W. Ice,Pitches Me Crazy,
1,9/29/2017,8:35 PM,Northside,White Co-Rec Division,MT Club,V.W. Ice,
0,10/6/2017,7:25 PM,Northside,White Co-Rec Division,V.W. Ice,Sandlot Warriors,
teamName = "Westside Lanes/P.Falls";

1,8/25/2017,6:15 PM,MC 2,White Co-Rec Division,MT Club,Westside Lanes/P.Falls,
0,9/8/2017,8:35 PM,MC 1,White Co-Rec Division,Westside Lanes/P.Falls,V.W. Ice,
1,9/15/2017,6:15 PM,Northside,White Co-Rec Division,Sucker Punch,Westside Lanes/P.Falls,
1,9/22/2017,9:45 PM,Northside,White Co-Rec Division,Msla Heating & Cooling,Westside Lanes/P.Falls,
0,9/29/2017,9:45 PM,MC 1,White Co-Rec Division,Westside Lanes/P.Falls,Sandlot Warriors,
0,10/6/2017,8:35 PM,MC 1,White Co-Rec Division,Westside Lanes/P.Falls,Team Ohana,
